Date,Event Type,Transaction Hash / Contract ID,Amount (Stroops),Status,Actor Role,Notes
2026-07-28,Escrow Deployed,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,10000000,Success,Buyer,First escrow factory deployment on testnet
2026-07-28,OTP Verified + GPS Check,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,10000000,Settled,Rider,Haversine check passed within 50m tolerance
2026-07-28,Atomic Payout Split,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,10000000,Settled,Contract,Seller 95% + Rider 2.5% + Fee 2.5%
2026-07-28,Validator Registered,CCL2JGIDNFXPLEKJ5N6LFIVYLP6YJJR7MTB653ZYIPKENYYEI6QQBV2T,500000000,Success,Validator,Arbiter Node-7 staked 50 XLM
2026-07-28,Dispute Opened,CB5JHSE4CQWUDXANNT6ZE7LM4QXCB7Y6VJ4XCC2UWRJRTDPBLZENEOE2,0,Active,Buyer,Case #ONDC-398 — UPI Handover Discrepancy
2026-07-28,Vote Cast,CB5JHSE4CQWUDXANNT6ZE7LM4QXCB7Y6VJ4XCC2UWRJRTDPBLZENEOE2,0,Success,Validator,Vote: Release to Seller
2026-07-29,Escrow Deployed,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,20000000,Success,Buyer,Second escrow instance deployed
2026-07-29,OTP Verified + GPS Check,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,20000000,Settled,Rider,Delhi coordinates confirmed on-chain
2026-07-29,Atomic Payout Split,CAHJBEWY2DNJZBXXQUCITHDGIAA4DZDJDSRFS6UZO7WMJFNE26IXV4ME,20000000,Settled,Contract,Seller 19000000 + Rider 500000 + Fee 500000 Stroops
2026-07-29,Dispute Opened,CB5JHSE4CQWUDXANNT6ZE7LM4QXCB7Y6VJ4XCC2UWRJRTDPBLZENEOE2,0,Active,Buyer,Case #ONDC-401 — GPS Non-delivery Claim (High Urgency)
2026-07-29,Vote Cast,CB5JHSE4CQWUDXANNT6ZE7LM4QXCB7Y6VJ4XCC2UWRJRTDPBLZENEOE2,0,Success,Validator,Stake Reward: 45 XLM
2026-07-29,Participant Registered,CCTZQQJURSG6OL2WTPDBWSWXIYOW7MSHD7EZ4XW25H4UNO7CJIAYBOKA,0,Success,Seller,BPP registration with SLA profile
